Debug: vertices: 320 faces: 162
Index |        X        |        Y        |        Z        |   Latitude   |  Longitude
------|-----------------|-----------------|-----------------|--------------|------------
    0 |     -0.55576791 |      0.82185003 |      0.12523799 |     7.1944999 |   124.0681325
    1 |     -0.70516682 |      0.64518753 |      0.29406259 |    17.1013347 |   137.5432609
    2 |     -0.45109043 |      0.80221537 |      0.39111114 |    23.0236552 |   119.3493047
    3 |     -0.57868933 |      0.76967233 |      0.26967233 |    15.6447696 |   126.9382075
    4 |     -0.82185003 |      0.12523799 |      0.55576791 |    33.7636228 |   171.3356122
    5 |     -0.64518753 |      0.29406259 |      0.70516682 |    44.8430231 |   155.4975224
    6 |     -0.80221537 |      0.39111114 |      0.45109043 |    26.8136667 |   154.0089693
    7 |     -0.76967233 |      0.26967233 |      0.57868933 |    35.3584095 |   160.6909217
    8 |     -0.12523799 |      0.55576791 |      0.82185003 |    55.2704201 |   102.6990470
    9 |     -0.29406259 |      0.70516682 |      0.64518753 |    40.1797369 |   112.6366918
   10 |     -0.39111114 |      0.45109043 |      0.80221537 |    53.3421784 |   130.9264284
   11 |     -0.26967233 |      0.57868933 |      0.76967233 |    50.3244736 |   114.9857718
   12 |     -0.70887567 |      0.54641583 |      0.44601012 |    26.4879839 |   142.3742314
   13 |     -0.54641583 |      0.44601012 |      0.70887567 |    45.1435105 |   140.7770706
   14 |     -0.44601012 |      0.70887567 |      0.54641583 |    33.1214694 |   122.1772657
   15 |     -0.57735027 |      0.57735027 |      0.57735027 |    35.2643897 |   135.0000000
   16 |     -0.43052992 |      0.89925137 |      0.07740134 |     4.4392100 |   115.5834595
   17 |     -0.31405569 |      0.88690750 |      0.33876852 |    19.8018634 |   109.4991545
   18 |     -0.15702784 |      0.98395605 |      0.08469213 |     4.8583214 |    99.0672740
   19 |     -0.30901699 |      0.93633900 |      0.16666667 |     9.5940682 |   108.2642764
   20 |      0.00000000 |      0.63316925 |      0.77401337 |    50.7156671 |    90.0000000
   21 |      0.15702784 |      0.78985895 |      0.59284491 |    36.3591526 |    78.7559222
   22 |     -0.15702784 |      0.78985895 |      0.59284491 |    36.3591526 |   101.2440778
   23 |      0.00000000 |      0.74535599 |      0.66666667 |    41.8103149 |    90.0000000
   24 |      0.43052992 |      0.89925137 |      0.07740134 |     4.4392100 |    64.4165405
   25 |      0.15702784 |      0.98395605 |      0.08469213 |     4.8583214 |    80.9327260
   26 |      0.31405569 |      0.88690750 |      0.33876852 |    19.8018634 |    70.5008455
   27 |      0.30901699 |      0.93633900 |      0.16666667 |     9.5940682 |    71.7357236
   28 |     -0.16245985 |      0.88411938 |      0.43810926 |    25.9833066 |   100.4121356
   29 |      0.16245985 |      0.88411938 |      0.43810926 |    25.9833066 |    79.5878644
   30 |      0.00000000 |      0.98452509 |      0.17524370 |    10.0928405 |    90.0000000
   31 |      0.00000000 |      0.93417236 |      0.35682209 |    20.9051574 |    90.0000000
   32 |     -0.43052992 |      0.89925137 |     -0.07740134 |    -4.4392100 |   115.5834595
   33 |     -0.15702784 |      0.98395605 |     -0.08469213 |    -4.8583214 |    99.0672740
   34 |     -0.31405569 |      0.88690750 |     -0.33876852 |   -19.8018634 |   109.4991545
   35 |     -0.30901699 |      0.93633900 |     -0.16666667 |    -9.5940682 |   108.2642764
   36 |      0.43052992 |      0.89925137 |     -0.07740134 |    -4.4392100 |    64.4165405
   37 |      0.31405569 |      0.88690750 |     -0.33876852 |   -19.8018634 |    70.5008455
   38 |      0.15702784 |      0.98395605 |     -0.08469213 |    -4.8583214 |    80.9327260
   39 |      0.30901699 |      0.93633900 |     -0.16666667 |    -9.5940682 |    71.7357236
   40 |      0.00000000 |      0.63316925 |     -0.77401337 |   -50.7156671 |    90.0000000
   41 |     -0.15702784 |      0.78985895 |     -0.59284491 |   -36.3591526 |   101.2440778
   42 |      0.15702784 |      0.78985895 |     -0.59284491 |   -36.3591526 |    78.7559222
   43 |      0.00000000 |      0.74535599 |     -0.66666667 |   -41.8103149 |    90.0000000
   44 |      0.00000000 |      0.98452509 |     -0.17524370 |   -10.0928405 |    90.0000000
   45 |      0.16245985 |      0.88411938 |     -0.43810926 |   -25.9833066 |    79.5878644
   46 |     -0.16245985 |      0.88411938 |     -0.43810926 |   -25.9833066 |   100.4121356
   47 |      0.00000000 |      0.93417236 |     -0.35682209 |   -20.9051574 |    90.0000000
   48 |     -0.55576791 |      0.82185003 |     -0.12523799 |    -7.1944999 |   124.0681325
   49 |     -0.45109043 |      0.80221537 |     -0.39111114 |   -23.0236552 |   119.3493047
   50 |     -0.70516682 |      0.64518753 |     -0.29406259 |   -17.1013347 |   137.5432609
   51 |     -0.57868933 |      0.76967233 |     -0.26967233 |   -15.6447696 |   126.9382075
   52 |     -0.12523799 |      0.55576791 |     -0.82185003 |   -55.2704201 |   102.6990470
   53 |     -0.39111114 |      0.45109043 |     -0.80221537 |   -53.3421784 |   130.9264284
   54 |     -0.29406259 |      0.70516682 |     -0.64518753 |   -40.1797369 |   112.6366918
   55 |     -0.26967233 |      0.57868933 |     -0.76967233 |   -50.3244736 |   114.9857718
   56 |     -0.82185003 |      0.12523799 |     -0.55576791 |   -33.7636228 |   171.3356122
   57 |     -0.80221537 |      0.39111114 |     -0.45109043 |   -26.8136667 |   154.0089693
   58 |     -0.64518753 |      0.29406259 |     -0.70516682 |   -44.8430231 |   155.4975224
   59 |     -0.76967233 |      0.26967233 |     -0.57868933 |   -35.3584095 |   160.6909217
   60 |     -0.44601012 |      0.70887567 |     -0.54641583 |   -33.1214694 |   122.1772657
   61 |     -0.54641583 |      0.44601012 |     -0.70887567 |   -45.1435105 |   140.7770706
   62 |     -0.70887567 |      0.54641583 |     -0.44601012 |   -26.4879839 |   142.3742314
   63 |     -0.57735027 |      0.57735027 |     -0.57735027 |   -35.2643897 |   135.0000000
   64 |     -0.63316925 |      0.77401337 |      0.00000000 |     0.0000000 |   129.2843329
   65 |     -0.78985895 |      0.59284491 |     -0.15702784 |    -9.0344236 |   143.1091846
   66 |     -0.78985895 |      0.59284491 |      0.15702784 |     9.0344236 |   143.1091846
   67 |     -0.74535599 |      0.66666667 |      0.00000000 |     0.0000000 |   138.1896851
   68 |     -0.89925137 |      0.07740134 |     -0.43052992 |   -25.5011946 |   175.0805006
   69 |     -0.98395605 |      0.08469213 |     -0.15702784 |    -9.0344236 |   175.0805006
   70 |     -0.88690750 |      0.33876852 |     -0.31405569 |   -18.3038161 |   159.0948426
   71 |     -0.93633900 |      0.16666667 |     -0.30901699 |   -18.0000000 |   169.9071595
   72 |     -0.89925137 |      0.07740134 |      0.43052992 |    25.5011946 |   175.0805006
   73 |     -0.88690750 |      0.33876852 |      0.31405569 |    18.3038161 |   159.0948426
   74 |     -0.98395605 |      0.08469213 |      0.15702784 |     9.0344236 |   175.0805006
   75 |     -0.93633900 |      0.16666667 |      0.30901699 |    18.0000000 |   169.9071595
   76 |     -0.88411938 |      0.43810926 |     -0.16245985 |    -9.3497035 |   153.6401222
   77 |     -0.98452509 |      0.17524370 |      0.00000000 |     0.0000000 |   169.9071595
   78 |     -0.88411938 |      0.43810926 |      0.16245985 |     9.3497035 |   153.6401222
   79 |     -0.93417236 |      0.35682209 |      0.00000000 |     0.0000000 |   159.0948426
   80 |      0.55576791 |      0.82185003 |      0.12523799 |     7.1944999 |    55.9318675
   81 |      0.45109043 |      0.80221537 |      0.39111114 |    23.0236552 |    60.6506953
   82 |      0.70516682 |      0.64518753 |      0.29406259 |    17.1013347 |    42.4567391
   83 |      0.57868933 |      0.76967233 |      0.26967233 |    15.6447696 |    53.0617925
   84 |      0.12523799 |      0.55576791 |      0.82185003 |    55.2704201 |    77.3009530
   85 |      0.39111114 |      0.45109043 |      0.80221537 |    53.3421784 |    49.0735716
   86 |      0.29406259 |      0.70516682 |      0.64518753 |    40.1797369 |    67.3633082
   87 |      0.26967233 |      0.57868933 |      0.76967233 |    50.3244736 |    65.0142282
   88 |      0.82185003 |      0.12523799 |      0.55576791 |    33.7636228 |     8.6643878
   89 |      0.80221537 |      0.39111114 |      0.45109043 |    26.8136667 |    25.9910307
   90 |      0.64518753 |      0.29406259 |      0.70516682 |    44.8430231 |    24.5024776
   91 |      0.76967233 |      0.26967233 |      0.57868933 |    35.3584095 |    19.3090783
   92 |      0.44601012 |      0.70887567 |      0.54641583 |    33.1214694 |    57.8227343
   93 |      0.54641583 |      0.44601012 |      0.70887567 |    45.1435105 |    39.2229294
   94 |      0.70887567 |      0.54641583 |      0.44601012 |    26.4879839 |    37.6257686
   95 |      0.57735027 |      0.57735027 |      0.57735027 |    35.2643897 |    45.0000000
   96 |     -0.07740134 |      0.43052992 |      0.89925137 |    64.0598368 |   100.1918500
   97 |     -0.08469213 |      0.15702784 |      0.98395605 |    79.7227787 |   118.3399674
   98 |     -0.33876852 |      0.31405569 |      0.88690750 |    62.4871807 |   137.1679115
   99 |     -0.16666667 |      0.30901699 |      0.93633900 |    69.4455573 |   118.3399674
  100 |     -0.07740134 |     -0.43052992 |      0.89925137 |    64.0598368 |  -100.1918500
  101 |     -0.33876852 |     -0.31405569 |      0.88690750 |    62.4871807 |  -137.1679115
  102 |     -0.08469213 |     -0.15702784 |      0.98395605 |    79.7227787 |  -118.3399674
  103 |     -0.16666667 |     -0.30901699 |      0.93633900 |    69.4455573 |  -118.3399674
  104 |     -0.77401337 |      0.00000000 |      0.63316925 |    39.2843329 |   180.0000000
  105 |     -0.59284491 |      0.15702784 |      0.78985895 |    52.1723325 |   165.1646413
  106 |     -0.59284491 |     -0.15702784 |      0.78985895 |    52.1723325 |  -165.1646413
  107 |     -0.66666667 |      0.00000000 |      0.74535599 |    48.1896851 |   180.0000000
  108 |     -0.17524370 |      0.00000000 |      0.98452509 |    79.9071595 |   180.0000000
  109 |     -0.43810926 |     -0.16245985 |      0.88411938 |    62.1433457 |  -159.6541924
  110 |     -0.43810926 |      0.16245985 |      0.88411938 |    62.1433457 |   159.6541924
  111 |     -0.35682209 |      0.00000000 |      0.93417236 |    69.0948426 |   180.0000000
  112 |     -0.89925137 |     -0.07740134 |      0.43052992 |    25.5011946 |  -175.0805006
  113 |     -0.88690750 |     -0.33876852 |      0.31405569 |    18.3038161 |  -159.0948426
